"Sample","Epichloe Reads","Fescue Reads","Total Reads","Percent Epichloe","Percent Fescue"
"CTE46P_O16_HP1_S124_T4",596848,64434179,65031027,0.00918,0.99082
"CTE46P_O16_HP2_S164_T7",374016,88949503,89323519,0.00419,0.99581
"CTE46P_O16_HP3_S356_T11",375753,62442767,62818520,0.00598,0.99402
"CTE46P_O17_C1_S004_F43",369834,47529941,47899775,0.00772,0.99228
"CTE46P_O17_C2_S148_F50",411238,48638692,49049930,0.00838,0.99162
"CTE46P_O17_C3_S274_F56",389279,46380044,46769323,0.00832,0.99168
"CTE46P_O17_H1_S034_F45",561264,48275137,48836401,0.01149,0.98851
"CTE46P_O17_H2_S240_F53",537510,48478843,49016353,0.01097,0.98903
"CTE46P_O17_H3_S316_F58",475484,54295116,54770600,0.00868,0.99132
"CTE46P_O17_HP1_S124_F48",421821,51903498,52325319,0.00806,0.99194
"CTE46P_O17_HP2_S164_F51",619297,48066567,48685864,0.01272,0.98728
"CTE46P_O17_HP3_S356_F59",545867,56444634,56990501,0.00958,0.99042
